epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.24089,1.8641,3.68638,1.77431,0.00387,0.60554,0.03583,0.02063,1.0135,3.21578,1.34143,5.716e-05,5.716e-05,5.716e-05
2,8.85345,1.62239,3.49657,1.6644,0.0046,0.62069,0.10735,0.07027,0.86898,3.20873,1.21752,0.000127337,0.000127337,0.000127337
3,11.583,1.21847,3.14908,1.46936,0.00482,0.64894,0.18965,0.14737,0.76984,3.10326,1.13124,0.000196099,0.000196099,0.000196099
4,15.5166,1.02902,2.63564,1.28355,0.00628,0.67403,0.22187,0.17308,0.73232,2.94419,1.10094,0.000263446,0.000263446,0.000263446
5,16.9132,1.03184,2.36033,1.26774,0.00643,0.73228,0.28318,0.22581,0.72507,2.81327,1.07832,0.000329379,0.000329379,0.000329379
6,18.3184,0.94768,2.1187,1.22751,0.66667,0.01809,0.2803,0.20228,0.82602,2.82401,1.13223,0.000393897,0.000393897,0.000393897
7,19.7092,1.02131,2.03444,1.24937,1,0.02608,0.35029,0.24234,0.87247,2.79741,1.10495,0.000457,0.000457,0.000457
8,21.1001,0.96878,1.99484,1.22292,0.9736,0.1926,0.46488,0.33153,0.72919,2.56153,1.04011,0.000518688,0.000518688,0.000518688
9,26.9081,0.9889,1.7969,1.23512,0.72639,0.3489,0.4707,0.36017,0.8657,2.17803,1.15136,0.000578962,0.000578962,0.000578962
10,28.3375,0.90878,1.6032,1.1988,0.74703,0.39732,0.48344,0.35092,0.88444,2.20757,1.15053,0.000637821,0.000637821,0.000637821
11,30.6787,1.00804,1.79383,1.23867,0.75887,0.41864,0.48187,0.33136,0.89255,2.2241,1.15117,0.000695266,0.000695266,0.000695266
12,35.3344,0.96011,1.65298,1.231,0.65019,0.42826,0.48439,0.34187,0.78967,2.16361,1.08067,0.000751295,0.000751295,0.000751295
13,36.7185,0.89387,1.63995,1.16193,0.72125,0.53207,0.57593,0.45492,0.72468,1.85077,1.02557,0.00080591,0.00080591,0.00080591
14,38.0637,0.83662,1.55082,1.15676,0.68579,0.51009,0.59882,0.46652,0.7596,1.87604,1.05187,0.000859111,0.000859111,0.000859111
15,39.3553,0.86332,1.51914,1.20496,0.70236,0.50064,0.56237,0.41755,0.87184,2.09846,1.11445,0.000910896,0.000910896,0.000910896
16,40.7281,0.87341,1.51112,1.13461,0.58076,0.385,0.29819,0.21642,0.83253,2.40706,1.16205,0.000961267,0.000961267,0.000961267
17,46.8282,0.95174,1.46525,1.17308,0.62019,0.36779,0.49054,0.35763,0.79286,1.93919,1.13206,0.00101022,0.00101022,0.00101022
18,48.1749,0.85281,1.43287,1.1284,0.71413,0.49803,0.56692,0.39738,0.93763,1.91215,1.24974,0.00105776,0.00105776,0.00105776
19,50.5573,0.84247,1.33291,1.09983,0.65241,0.50953,0.59417,0.44539,0.86954,1.88708,1.18811,0.00110389,0.00110389,0.00110389
20,55.183,0.91989,1.47926,1.17325,0.51314,0.43574,0.47166,0.33564,1.04547,2.04823,1.49572,0.0011486,0.0011486,0.0011486
21,56.4911,1.06283,1.58025,1.29045,0.60342,0.55747,0.57636,0.40383,0.8823,1.63636,1.15659,0.00114606,0.00114606,0.00114606
22,57.819,0.86593,1.49705,1.16528,0.55144,0.44321,0.4435,0.25726,1.35347,2.30816,1.63007,0.00113191,0.00113191,0.00113191
23,59.1232,0.85127,1.31514,1.12791,0.40685,0.3786,0.35345,0.19073,1.46591,2.46654,1.82907,0.00111776,0.00111776,0.00111776
24,60.4425,0.80214,1.22778,1.10653,0.4563,0.37899,0.396,0.24238,1.26108,2.41868,1.63459,0.00110362,0.00110362,0.00110362
25,66.8636,0.83263,1.17421,1.1027,0.55015,0.51003,0.53992,0.3781,0.96136,1.86548,1.19957,0.00108947,0.00108947,0.00108947
26,68.2005,0.81233,1.15116,1.11101,0.66796,0.47799,0.55274,0.41226,0.96377,2.00307,1.20551,0.00107532,0.00107532,0.00107532
27,70.4247,0.82595,1.25643,1.12059,0.65806,0.49812,0.55689,0.41018,1.06208,1.8672,1.31942,0.00106118,0.00106118,0.00106118
28,75.0149,0.8897,1.19455,1.18888,0.73415,0.60816,0.7114,0.54081,0.77516,1.32178,1.05809,0.00104703,0.00104703,0.00104703
29,76.3229,0.83735,1.22029,1.15794,0.63171,0.65679,0.73084,0.57891,0.71775,1.4235,1.0221,0.00103288,0.00103288,0.00103288
30,77.7832,0.85615,1.14347,1.14274,0.64947,0.66596,0.76368,0.60962,0.68874,1.30346,1.00355,0.00101873,0.00101873,0.00101873
31,79.4784,0.72909,1.07143,1.06377,0.70448,0.74974,0.83586,0.66816,0.72528,1.14041,1.02818,0.00100459,0.00100459,0.00100459
32,80.8124,0.79412,1.06606,1.07829,0.62781,0.6944,0.75517,0.55298,0.87898,1.35269,1.13302,0.00099044,0.00099044,0.00099044
33,86.7746,0.8105,1.03304,1.10584,0.85884,0.49352,0.72736,0.54626,0.84993,1.45262,1.11292,0.000976293,0.000976293,0.000976293
34,88.096,0.84499,1.08228,1.14534,0.66383,0.70195,0.72831,0.52369,0.9412,1.5241,1.24338,0.000962146,0.000962146,0.000962146
35,90.2871,0.83125,1.0651,1.09921,0.66232,0.7178,0.75409,0.54932,0.96044,1.64207,1.27743,0.000947999,0.000947999,0.000947999
36,94.8504,0.80064,1.02681,1.07292,0.82098,0.61409,0.78807,0.56936,0.95136,1.34183,1.25322,0.000933851,0.000933851,0.000933851
37,96.1478,0.83368,1.04248,1.17491,0.73877,0.75059,0.8321,0.62941,0.81041,1.09158,1.1319,0.000919704,0.000919704,0.000919704
38,97.4643,0.69558,0.90996,1.0456,0.81224,0.69055,0.87327,0.69322,0.83453,1.08095,1.11967,0.000905557,0.000905557,0.000905557
39,98.7637,0.73881,0.9889,1.05275,0.83528,0.80958,0.89635,0.69956,0.83103,0.93232,1.14353,0.00089141,0.00089141,0.00089141
40,100.127,0.82907,0.97453,1.15117,0.92247,0.82687,0.93694,0.77174,0.6036,0.75427,0.96935,0.000877263,0.000877263,0.000877263
41,106.847,0.68042,0.92971,1.04626,0.88284,0.84259,0.93053,0.77974,0.56906,0.68115,0.93791,0.000863116,0.000863116,0.000863116
42,108.236,0.69757,0.84877,1.04525,0.83526,0.83149,0.90407,0.76684,0.548,0.78822,0.92767,0.000848969,0.000848969,0.000848969
43,110.182,0.72272,0.8928,1.07814,0.91533,0.82885,0.92109,0.76616,0.57746,0.81271,0.93475,0.000834822,0.000834822,0.000834822
44,114.744,0.70495,0.83167,1.01004,0.95996,0.87418,0.9591,0.81069,0.55281,0.65147,0.91961,0.000820675,0.000820675,0.000820675
45,116.514,0.67415,0.90068,1.03769,0.92961,0.9022,0.95992,0.81256,0.56202,0.64607,0.92476,0.000806528,0.000806528,0.000806528
46,117.878,0.69996,0.86745,1.05895,0.88649,0.88391,0.95294,0.79519,0.555,0.68938,0.90921,0.00079238,0.00079238,0.00079238
47,119.21,0.7178,0.85661,1.05485,0.94838,0.91395,0.97332,0.8487,0.51113,0.54847,0.8872,0.000778233,0.000778233,0.000778233
48,120.635,0.66334,0.81433,1.01441,0.94864,0.92724,0.97845,0.85677,0.46856,0.51753,0.86477,0.000764086,0.000764086,0.000764086
49,126.871,0.65447,0.83899,1.04302,0.95792,0.92584,0.98054,0.87381,0.43805,0.47978,0.85481,0.000749939,0.000749939,0.000749939
50,128.266,0.65057,0.74081,0.97976,0.94121,0.90559,0.97718,0.85975,0.46437,0.60001,0.87248,0.000735792,0.000735792,0.000735792
51,130.057,0.69396,0.87772,1.06344,0.92781,0.8961,0.96509,0.84284,0.47449,0.57872,0.8695,0.000721645,0.000721645,0.000721645
52,134.612,0.69635,0.78584,1.03378,0.96774,0.91211,0.97809,0.85223,0.47601,0.50182,0.87967,0.000707498,0.000707498,0.000707498
53,135.939,0.62435,0.72586,0.98487,0.93767,0.96401,0.9838,0.87271,0.44605,0.43452,0.86183,0.000693351,0.000693351,0.000693351
54,137.324,0.61439,0.73427,1.01576,0.91944,0.89525,0.96247,0.86527,0.44268,0.53029,0.85076,0.000679204,0.000679204,0.000679204
55,138.658,0.67507,0.75634,1.03167,0.89691,0.83913,0.94253,0.84426,0.45384,0.6072,0.86082,0.000665057,0.000665057,0.000665057
56,140.016,0.57032,0.73834,0.9799,0.95568,0.90275,0.98114,0.87945,0.43444,0.45993,0.85285,0.000650909,0.000650909,0.000650909
57,146.819,0.6504,0.71984,1.00952,0.96895,0.94917,0.98743,0.89309,0.41602,0.43995,0.8446,0.000636762,0.000636762,0.000636762
58,148.141,0.65233,0.73573,1.03172,0.97026,0.94409,0.98711,0.88296,0.43394,0.47514,0.85812,0.000622615,0.000622615,0.000622615
59,149.944,0.6393,0.68266,1.03028,0.95144,0.96654,0.98688,0.88787,0.4147,0.45056,0.85037,0.000608468,0.000608468,0.000608468
60,154.494,0.62762,0.72352,1.03189,0.95423,0.91775,0.98295,0.89033,0.41451,0.48328,0.85086,0.000594321,0.000594321,0.000594321
61,155.821,0.56024,0.65611,0.98292,0.9727,0.93385,0.98285,0.88965,0.41138,0.4775,0.84701,0.000580174,0.000580174,0.000580174
62,157.145,0.61505,0.65191,0.98322,0.96557,0.93105,0.98007,0.8714,0.43066,0.47049,0.85949,0.000566027,0.000566027,0.000566027
63,158.542,0.64086,0.69638,1.02771,0.96063,0.9384,0.98119,0.88203,0.40133,0.44548,0.84537,0.00055188,0.00055188,0.00055188
64,159.896,0.61459,0.7035,0.9841,0.97501,0.96124,0.98727,0.88711,0.39458,0.42172,0.83863,0.000537733,0.000537733,0.000537733
65,166.827,0.62828,0.67069,0.99238,0.9775,0.9591,0.98838,0.89068,0.39035,0.42642,0.83746,0.000523586,0.000523586,0.000523586
66,168.21,0.6371,0.72028,1.03706,0.97878,0.95773,0.98673,0.90022,0.37282,0.4193,0.83641,0.000509438,0.000509438,0.000509438
67,169.786,0.59808,0.63967,0.99233,0.97252,0.96494,0.98635,0.90725,0.35718,0.3982,0.83161,0.000495291,0.000495291,0.000495291
68,174.409,0.6091,0.6478,1.01613,0.97359,0.966,0.98859,0.90943,0.35271,0.3738,0.8297,0.000481144,0.000481144,0.000481144
69,175.767,0.53836,0.60464,0.98557,0.97461,0.96035,0.98918,0.91185,0.35306,0.36186,0.82739,0.000466997,0.000466997,0.000466997
70,177.162,0.61867,0.6815,1.01141,0.97515,0.9602,0.99025,0.9035,0.39341,0.40461,0.83112,0.00045285,0.00045285,0.00045285
71,178.493,0.56396,0.62463,1.00237,0.97969,0.97201,0.99274,0.90831,0.40781,0.40291,0.83777,0.000438703,0.000438703,0.000438703
72,179.848,0.56064,0.60985,0.95379,0.97981,0.94796,0.99129,0.89952,0.39272,0.39645,0.84073,0.000424556,0.000424556,0.000424556
73,186.833,0.58752,0.56082,1.03304,0.969,0.96567,0.99101,0.90234,0.37587,0.38404,0.83505,0.000410409,0.000410409,0.000410409
74,188.191,0.48781,0.60729,0.95066,0.98703,0.9752,0.9923,0.90554,0.36195,0.36487,0.82605,0.000396262,0.000396262,0.000396262
75,189.671,0.56584,0.57262,0.98774,0.9825,0.98531,0.99396,0.9203,0.3465,0.36616,0.82009,0.000382115,0.000382115,0.000382115
76,194.227,0.51787,0.55859,0.95025,0.98229,0.98279,0.99406,0.92478,0.35251,0.35303,0.82086,0.000367967,0.000367967,0.000367967
77,195.517,0.57619,0.62302,0.98355,0.98972,0.97966,0.99418,0.92676,0.35636,0.34644,0.8191,0.00035382,0.00035382,0.00035382
78,196.842,0.60155,0.57244,1.002,0.99004,0.98722,0.99461,0.92092,0.368,0.32904,0.82386,0.000339673,0.000339673,0.000339673
